TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD,Latitude,Longitude
Carjacking,2020,6,11,13,40,Uhuru Park,-1.2903935,36.8165834
Sexual Assault,2020,8,1,16,23,South B,-1.314378142,36.83863298
Terrorism,2019,3,8,7,36,Uhuru Park,-1.2903935,36.8165834
Fraud,2017,1,26,5,17,South B,-1.314378142,36.83863298
Carjacking,2020,6,2,12,33,South C,-1.315895748,36.82659496
Road Carnage,2017,1,22,14,33,Uhuru Park,-1.29116194,36.81595167
Road Carnage,2018,3,27,3,16,Ngong,-1.375659647,36.6759248
Drug Charges,2017,6,17,21,37,Kibera,-1.314278242,36.79372214
Armed Robbery,2018,1,24,16,13,Parklands,-1.25514071,36.80907643
Road Carnage,2019,12,28,23,37,Githurai,-1.210787637,36.91850554
Pick Pocketing,2020,1,30,18,30,South C,-1.309374327,36.82633747
Armed Robbery,2019,9,7,23,5,Thika,-1.055464524,37.10123903
Sexual Assault,2017,3,30,14,16,Parklands,-1.259163055,36.8206743
Sexual Assault,2019,6,8,16,43,Kibera,-1.313956462,36.79674767
Road Carnage,2018,12,13,15,60,Kahawa West,-1.186717399,36.9032706
Sexual Assault,2019,11,8,20,49,South B,-1.309873212,36.83713094
Armed Robbery,2018,4,15,15,45,South B,-1.309572883,36.83095113
Fraud,2018,7,26,16,18,Thika,-1.03581257,37.08390123
Sexual Assault,2020,5,28,19,56,South B,-1.309873212,36.83713094
Fraud,2019,7,7,10,52,Githurai,-1.203965613,36.91241157
Terrorism,2018,3,1,0,28,Kahawa West,-1.186717399,36.9032706
Fraud,2018,5,26,8,39,South C,-1.327136577,36.82569374
Terrorism,2017,5,10,18,11,Ngong,-1.366907424,36.67197658
Pick Pocketing,2017,12,19,21,25,Kahawa West,-1.181697376,36.90348517
Drug Charges,2018,6,4,15,6,Parklands,-1.260482383,36.80860436
Pick Pocketing,2020,6,18,15,57,Kibera,-1.3159515,36.79043911
Fraud,2020,6,7,7,55,Kahawa West,-1.188605268,36.89691913
Armed Robbery,2018,3,27,1,14,Kibera,-1.313956462,36.79674767
Fraud,2019,7,29,5,22,Kibera,-1.310631395,36.79153345
Sexual Assault,2019,1,8,0,49,Uhuru Park,-1.288523315,36.81737861
Armed Robbery,2018,8,25,3,36,Githurai,-1.204866636,36.92777526
Armed Robbery,2018,2,9,0,11,South B,-1.315525825,36.83550016
Road Carnage,2018,10,14,6,20,Parklands,-1.25514071,36.80907643
Drug Charges,2017,5,22,20,7,Githurai,-1.210787637,36.91850554
Carjacking,2020,6,25,16,56,Kibera,-1.3159515,36.79043911
Terrorism,2018,7,27,16,1,Thika,-1.03581257,37.08390123
Road Carnage,2017,1,1,20,53,Thika,-1.03581257,37.08390123
Drug Charges,2017,2,19,15,55,Githurai,-1.210787637,36.91850554
Drug Charges,2020,10,30,10,41,Kahawa West,-1.186717399,36.9032706
Road Carnage,2020,9,12,10,42,South B,-1.309873212,36.83713094
Pick Pocketing,2018,10,6,13,5,South C,-1.309374327,36.82633747
Armed Robbery,2020,10,24,10,2,UpperHill,-1.30067329,36.81582487
Carjacking,2017,10,6,3,38,Uhuru Park,-1.288523315,36.81737861
Pick Pocketing,2017,5,3,24,43,South B,-1.315525825,36.83550016
Pick Pocketing,2020,7,11,8,58,South B,-1.314378142,36.83863298
Terrorism,2017,1,8,5,31,South B,-1.315525825,36.83550016
Sexual Assault,2019,1,27,16,9,Kibera,-1.313377257,36.79784201
Carjacking,2017,6,29,5,6,Parklands,-1.260482383,36.80860436
Armed Robbery,2019,6,8,15,26,Thika,-1.03581257,37.08390123
Road Carnage,2017,4,22,20,44,Kahawa West,-1.186717399,36.9032706
Armed Robbery,2017,7,26,11,36,Kahawa West,-1.186717399,36.9032706
Armed Robbery,2018,8,27,4,1,South C,-1.315895748,36.82659496
Fraud,2020,5,20,0,26,South C,-1.327222385,36.83938373
Sexual Assault,2018,6,21,7,12,Uhuru Park,-1.29116194,36.81595167
Pick Pocketing,2018,9,9,11,11,South B,-1.309572883,36.83095113
Terrorism,2020,1,12,24,28,Kibera,-1.313377257,36.79784201
Road Carnage,2018,6,15,12,13,Githurai,-1.210787637,36.91850554
Armed Robbery,2020,1,1,17,54,Uhuru Park,-1.291912768,36.81687435
Terrorism,2017,11,16,9,12,Thika,-1.055464524,37.10123903
Drug Charges,2018,11,8,13,45,Ngong,-1.375659647,36.6759248
Sexual Assault,2018,10,2,0,31,Uhuru Park,-1.29116194,36.81595167
Fraud,2019,11,24,23,18,South C,-1.315895748,36.82659496
Drug Charges,2018,5,17,14,45,Githurai,-1.210787637,36.91850554
Drug Charges,2019,9,8,11,3,Kahawa West,-1.188605268,36.89691913
Road Carnage,2017,1,27,2,2,Uhuru Park,-1.291912768,36.81687435
Carjacking,2020,5,6,9,20,Parklands,-1.261286851,36.81704796
Sexual Assault,2017,9,12,14,51,Ngong,-1.375659647,36.6759248
Drug Charges,2018,7,10,8,37,Ngong,-1.375659647,36.6759248
Armed Robbery,2020,11,27,1,18,Githurai,-1.203064589,36.9597901
Armed Robbery,2017,7,20,0,50,Githurai,-1.204866636,36.92777526
Pick Pocketing,2020,4,4,23,36,South B,-1.315525825,36.83550016
Sexual Assault,2017,7,9,13,7,Uhuru Park,-1.291912768,36.81687435
Armed Robbery,2019,5,9,18,1,Thika,-1.048427594,37.07454568
Road Carnage,2020,9,28,13,32,Kahawa West,-1.186717399,36.9032706
Road Carnage,2017,10,7,2,24,Kahawa West,-1.181697376,36.90348517
Road Carnage,2018,8,6,11,12,Kibera,-1.310631395,36.79153345
Sexual Assault,2020,7,1,20,2,Kahawa West,-1.188605268,36.89691913
Fraud,2018,8,11,5,40,UpperHill,-1.30067329,36.81582487
Carjacking,2020,1,22,8,20,Githurai,-1.210787637,36.91850554
Pick Pocketing,2020,9,4,14,39,Kibera,-1.314278242,36.79372214
Armed Robbery,2019,10,27,16,17,Uhuru Park,-1.29116194,36.81595167
Pick Pocketing,2019,8,31,0,30,UpperHill,-1.299707944,36.80938757
Armed Robbery,2020,7,24,12,19,South B,-1.309572883,36.83095113
Pick Pocketing,2017,8,6,16,57,Kibera,-1.3159515,36.79043911
Road Carnage,2019,9,29,1,46,Parklands,-1.260482383,36.80860436
Sexual Assault,2018,5,24,7,5,South C,-1.315895748,36.82659496
Fraud,2018,7,1,2,22,Uhuru Park,-1.29116194,36.81595167
Terrorism,2020,10,6,9,36,South C,-1.315895748,36.82659496
Armed Robbery,2020,7,11,20,37,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2019,4,11,14,26,Thika,-1.03581257,37.08390123
Armed Robbery,2020,3,23,20,2,Ngong,-1.349746111,36.65120556
Terrorism,2018,8,14,16,37,Thika,-1.048427594,37.07454568
Carjacking,2019,1,23,9,25,South B,-1.309873212,36.83713094
Sexual Assault,2018,5,6,19,11,Thika,-1.055464524,37.10123903
Fraud,2020,10,15,22,3,South C,-1.315895748,36.82659496
Sexual Assault,2018,6,21,8,25,Thika,-1.055464524,37.10123903
Pick Pocketing,2018,5,20,15,42,Ngong,-1.349746111,36.65120556
Pick Pocketing,2018,12,1,12,20,South C,-1.309374327,36.82633747
Road Carnage,2019,5,25,10,34,Kahawa West,-1.187060648,36.8999232
Road Carnage,2019,3,23,23,20,Ngong,-1.375659647,36.6759248
Fraud,2020,12,15,15,9,South B,-1.314378142,36.83863298
Carjacking,2019,6,5,5,11,Githurai,-1.210787637,36.91850554
Fraud,2019,3,19,10,15,Kibera,-1.3159515,36.79043911
Fraud,2017,5,25,20,2,Ngong,-1.366907424,36.67197658
Carjacking,2020,2,3,0,1,Uhuru Park,-1.2903935,36.8165834
Fraud,2019,1,26,11,28,South C,-1.309374327,36.82633747
Armed Robbery,2020,3,3,19,18,South B,-1.309572883,36.83095113
Pick Pocketing,2020,8,7,0,44,Ngong,-1.349746111,36.65120556
Carjacking,2019,3,8,2,35,South C,-1.312034383,36.82256092
Sexual Assault,2018,10,23,3,47,Parklands,-1.261286851,36.81704796
Road Carnage,2020,1,12,5,59,Githurai,-1.203965613,36.91241157
Pick Pocketing,2017,12,17,10,4,Githurai,-1.210787637,36.91850554
Carjacking,2017,5,4,3,23,Ngong,-1.349746111,36.65120556
Pick Pocketing,2018,7,16,23,47,South B,-1.309572883,36.83095113
Pick Pocketing,2019,12,15,22,43,Parklands,-1.259163055,36.8206743
Drug Charges,2017,5,12,17,6,South C,-1.312034383,36.82256092
Road Carnage,2019,9,3,6,32,Uhuru Park,-1.29116194,36.81595167
Fraud,2020,5,15,21,4,Kahawa West,-1.186717399,36.9032706
Armed Robbery,2020,7,9,19,53,Kibera,-1.314278242,36.79372214
Pick Pocketing,2018,6,25,3,23,UpperHill,-1.299707944,36.80938757
Armed Robbery,2020,5,26,5,23,Ngong,-1.361415817,36.66742756
Fraud,2017,1,8,5,3,South B,-1.309572883,36.83095113
Road Carnage,2017,2,19,0,40,Uhuru Park,-1.2903935,36.8165834
Road Carnage,2020,8,5,12,14,South C,-1.327222385,36.83938373
Armed Robbery,2018,9,3,18,9,Thika,-1.055464524,37.10123903
Armed Robbery,2019,5,14,23,57,Kibera,-1.310631395,36.79153345
Fraud,2017,9,8,5,40,Thika,-1.048427594,37.07454568
Armed Robbery,2019,8,23,22,9,Uhuru Park,-1.291912768,36.81687435
Fraud,2018,9,16,12,7,Ngong,-1.375659647,36.6759248
Armed Robbery,2017,6,2,12,49,Parklands,-1.260482383,36.80860436
Carjacking,2017,5,14,19,44,UpperHill,-1.298549527,36.81274569
Carjacking,2019,11,4,3,40,UpperHill,-1.298549527,36.81274569
Drug Charges,2018,4,4,4,26,Thika,-1.055464524,37.10123903
Carjacking,2018,9,28,19,9,Thika,-1.03581257,37.08390123
Drug Charges,2017,5,31,8,13,Thika,-1.048427594,37.07454568
Sexual Assault,2019,7,22,7,22,Thika,-1.055464524,37.10123903
Pick Pocketing,2017,10,4,0,9,South B,-1.315525825,36.83550016
Fraud,2020,4,10,0,35,Parklands,-1.261286851,36.81704796
Road Carnage,2017,6,2,8,2,Githurai,-1.203965613,36.91241157
Carjacking,2020,4,24,14,40,Kahawa West,-1.181697376,36.90348517
Carjacking,2020,2,28,3,15,Githurai,-1.204866636,36.92777526
Armed Robbery,2019,9,10,9,47,Githurai,-1.210787637,36.91850554
Carjacking,2019,6,12,1,38,Uhuru Park,-1.291912768,36.81687435
Carjacking,2017,9,8,17,23,Uhuru Park,-1.2903935,36.8165834
Pick Pocketing,2018,7,16,17,40,South C,-1.327222385,36.83938373
Armed Robbery,2019,7,15,24,9,Parklands,-1.25514071,36.80907643
Carjacking,2020,4,24,12,5,Kahawa West,-1.187060648,36.8999232
Armed Robbery,2020,2,28,17,21,Ngong,-1.375659647,36.6759248
Drug Charges,2017,2,16,21,30,Thika,-1.055464524,37.10123903
Road Carnage,2018,7,30,24,3,South C,-1.327136577,36.82569374
Carjacking,2020,6,3,2,55,Parklands,-1.261286851,36.81704796
Pick Pocketing,2018,5,14,21,6,South B,-1.309572883,36.83095113
Carjacking,2020,4,13,1,55,Kahawa West,-1.187060648,36.8999232
Sexual Assault,2017,8,19,22,53,South B,-1.315525825,36.83550016
Road Carnage,2019,8,11,6,22,Kibera,-1.313956462,36.79674767
Fraud,2017,9,18,3,5,Uhuru Park,-1.291912768,36.81687435
Terrorism,2018,8,7,2,45,South B,-1.309572883,36.83095113
Carjacking,2020,4,17,23,15,South C,-1.327136577,36.82569374
Armed Robbery,2017,10,16,4,2,Kibera,-1.310631395,36.79153345
Terrorism,2017,9,15,24,25,Githurai,-1.203965613,36.91241157
Armed Robbery,2020,5,15,4,23,Parklands,-1.260482383,36.80860436
Terrorism,2017,3,13,13,12,South C,-1.327222385,36.83938373
Pick Pocketing,2019,11,5,8,16,Kahawa West,-1.187060648,36.8999232
Drug Charges,2019,4,20,3,56,Uhuru Park,-1.29116194,36.81595167
Fraud,2018,9,23,10,47,Ngong,-1.361415817,36.66742756
Sexual Assault,2018,6,13,24,13,Kibera,-1.314278242,36.79372214
Pick Pocketing,2019,9,4,9,59,Ngong,-1.361415817,36.66742756
Armed Robbery,2017,11,23,24,46,Githurai,-1.204866636,36.92777526
Pick Pocketing,2019,7,24,18,29,Kahawa West,-1.181697376,36.90348517
Road Carnage,2020,3,13,23,11,Ngong,-1.375659647,36.6759248
Armed Robbery,2020,1,23,22,30,Uhuru Park,-1.29116194,36.81595167
Drug Charges,2018,12,9,14,44,UpperHill,-1.298549527,36.81274569
Fraud,2019,6,11,5,30,Parklands,-1.261286851,36.81704796
Pick Pocketing,2018,9,6,11,48,UpperHill,-1.298163388,36.81816375
Armed Robbery,2020,11,17,18,37,Kahawa West,-1.187060648,36.8999232
Sexual Assault,2017,1,4,14,42,Parklands,-1.25514071,36.80907643
Road Carnage,2017,5,24,14,14,Ngong,-1.366907424,36.67197658
Road Carnage,2018,3,1,5,7,Kibera,-1.313377257,36.79784201
Carjacking,2019,5,22,3,37,Thika,-1.055464524,37.10123903
Road Carnage,2017,5,24,6,16,Uhuru Park,-1.288523315,36.81737861
Armed Robbery,2017,9,6,17,59,Parklands,-1.25514071,36.80907643
Armed Robbery,2017,3,27,5,38,UpperHill,-1.299707944,36.80938757
Terrorism,2019,4,17,19,0,Githurai,-1.203965613,36.91241157
Carjacking,2017,9,17,21,45,Githurai,-1.210787637,36.91850554
Pick Pocketing,2018,6,9,0,40,Thika,-1.028089061,37.06853754
Armed Robbery,2018,6,29,18,47,Kibera,-1.3159515,36.79043911
Pick Pocketing,2017,5,23,19,38,South B,-1.315525825,36.83550016
Road Carnage,2020,7,21,10,28,South B,-1.314378142,36.83863298
Terrorism,2020,10,22,16,50,Uhuru Park,-1.2903935,36.8165834
Terrorism,2020,3,1,15,29,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2017,3,26,15,11,Thika,-1.048427594,37.07454568
Sexual Assault,2018,12,19,16,17,UpperHill,-1.298163388,36.81816375
Sexual Assault,2020,2,8,22,37,South C,-1.327136577,36.82569374
Fraud,2018,4,1,6,50,South B,-1.309873212,36.83713094
Carjacking,2020,5,30,5,59,Uhuru Park,-1.291912768,36.81687435
Drug Charges,2018,10,25,15,25,Thika,-1.048427594,37.07454568
Armed Robbery,2017,2,20,16,12,Ngong,-1.361415817,36.66742756
Armed Robbery,2017,6,24,12,46,Parklands,-1.259163055,36.8206743
Fraud,2019,6,30,3,24,Thika,-1.048427594,37.07454568
Terrorism,2018,11,22,5,13,Parklands,-1.260482383,36.80860436
Armed Robbery,2019,11,7,18,12,South C,-1.312034383,36.82256092
Road Carnage,2017,8,22,11,55,Uhuru Park,-1.2903935,36.8165834
Drug Charges,2018,8,4,6,53,Kibera,-1.3159515,36.79043911
Road Carnage,2018,5,31,12,1,UpperHill,-1.299707944,36.80938757
Pick Pocketing,2020,1,27,23,36,South B,-1.314378142,36.83863298
Road Carnage,2020,8,14,3,15,Thika,-1.055464524,37.10123903
Road Carnage,2017,7,19,11,50,UpperHill,-1.298163388,36.81816375
Pick Pocketing,2018,10,4,1,58,Thika,-1.048427594,37.07454568
Armed Robbery,2019,9,6,5,35,Uhuru Park,-1.291912768,36.81687435
Carjacking,2019,4,14,13,60,UpperHill,-1.298549527,36.81274569
Road Carnage,2020,8,10,4,40,Parklands,-1.25514071,36.80907643
Drug Charges,2019,3,14,17,20,Ngong,-1.366907424,36.67197658
Armed Robbery,2018,12,18,1,24,Kahawa West,-1.187060648,36.8999232
Carjacking,2020,6,4,18,27,Ngong,-1.366907424,36.67197658
Sexual Assault,2020,5,4,12,53,Githurai,-1.204866636,36.92777526
Terrorism,2019,8,15,20,44,Githurai,-1.203064589,36.9597901
Armed Robbery,2018,7,5,7,34,Ngong,-1.349746111,36.65120556
Drug Charges,2020,9,2,0,4,Kahawa West,-1.186717399,36.9032706
Carjacking,2020,9,16,9,44,South B,-1.309873212,36.83713094
Carjacking,2020,8,6,15,38,South B,-1.309572883,36.83095113
Sexual Assault,2018,5,11,16,59,South C,-1.327222385,36.83938373
Armed Robbery,2019,5,30,14,49,Kahawa West,-1.186717399,36.9032706
Carjacking,2020,3,7,19,13,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2017,11,9,19,36,South C,-1.312034383,36.82256092
Sexual Assault,2018,5,19,16,12,Thika,-1.028089061,37.06853754
Fraud,2018,11,8,24,29,Kahawa West,-1.181697376,36.90348517
Carjacking,2019,1,10,9,41,Kahawa West,-1.187060648,36.8999232
Carjacking,2020,11,10,12,11,Parklands,-1.25514071,36.80907643
Fraud,2017,11,16,6,54,Kahawa West,-1.186717399,36.9032706
Carjacking,2020,12,7,6,17,Kibera,-1.310631395,36.79153345
Pick Pocketing,2017,2,28,16,40,Githurai,-1.204866636,36.92777526
Terrorism,2018,3,17,21,19,Ngong,-1.375659647,36.6759248
Sexual Assault,2020,7,10,0,0,Kibera,-1.3159515,36.79043911
Fraud,2019,8,22,19,22,South C,-1.309374327,36.82633747
Armed Robbery,2018,5,22,16,56,Thika,-1.055464524,37.10123903
Carjacking,2020,2,27,12,4,Uhuru Park,-1.288523315,36.81737861
Carjacking,2019,5,24,18,29,South C,-1.327222385,36.83938373
Carjacking,2018,1,17,3,38,Githurai,-1.210787637,36.91850554
Road Carnage,2018,5,23,16,35,Uhuru Park,-1.291912768,36.81687435
Drug Charges,2018,1,30,1,15,Githurai,-1.204866636,36.92777526
Sexual Assault,2018,12,2,10,54,South C,-1.327222385,36.83938373
Armed Robbery,2017,9,16,20,38,Kahawa West,-1.181697376,36.90348517
Road Carnage,2020,3,29,3,29,South B,-1.309873212,36.83713094
Road Carnage,2017,12,8,1,15,Ngong,-1.349746111,36.65120556
Pick Pocketing,2017,7,22,4,12,Parklands,-1.260482383,36.80860436
Armed Robbery,2017,7,24,9,42,Thika,-1.028089061,37.06853754
Sexual Assault,2018,4,10,14,51,Githurai,-1.210787637,36.91850554
Terrorism,2017,10,25,17,25,UpperHill,-1.298163388,36.81816375
Armed Robbery,2017,10,25,23,37,Parklands,-1.261286851,36.81704796
Armed Robbery,2020,4,24,1,30,Githurai,-1.203965613,36.91241157
Road Carnage,2017,8,31,7,19,Uhuru Park,-1.291912768,36.81687435
Armed Robbery,2020,8,30,21,13,Parklands,-1.25514071,36.80907643
Road Carnage,2019,3,2,15,11,South B,-1.315525825,36.83550016
Terrorism,2019,8,10,19,7,Kahawa West,-1.186717399,36.9032706
Road Carnage,2020,5,5,10,58,South B,-1.309572883,36.83095113
Terrorism,2018,4,8,20,20,Parklands,-1.25514071,36.80907643
Carjacking,2020,5,6,6,6,Kibera,-1.313377257,36.79784201
Armed Robbery,2018,4,9,6,24,Kahawa West,-1.186717399,36.9032706
Pick Pocketing,2017,1,3,17,59,Thika,-1.048427594,37.07454568
Pick Pocketing,2019,8,14,16,10,UpperHill,-1.30067329,36.81582487
Road Carnage,2019,5,2,7,38,South C,-1.312034383,36.82256092
Road Carnage,2017,4,7,19,49,Parklands,-1.260482383,36.80860436
Terrorism,2020,2,2,2,24,Githurai,-1.204866636,36.92777526
Sexual Assault,2017,7,29,15,6,Ngong,-1.366907424,36.67197658
Drug Charges,2019,6,27,8,48,UpperHill,-1.30067329,36.81582487
Pick Pocketing,2019,4,7,8,26,Parklands,-1.260482383,36.80860436
Drug Charges,2018,2,19,20,9,South B,-1.309572883,36.83095113
Armed Robbery,2017,2,10,13,50,Ngong,-1.366907424,36.67197658
Sexual Assault,2018,7,10,0,56,Uhuru Park,-1.2903935,36.8165834
Carjacking,2017,7,12,15,0,Thika,-1.03581257,37.08390123
Fraud,2019,5,10,4,33,Ngong,-1.375659647,36.6759248
Terrorism,2019,6,17,2,28,Kibera,-1.314278242,36.79372214
Drug Charges,2017,3,27,6,49,UpperHill,-1.298163388,36.81816375
Fraud,2018,7,15,4,57,Ngong,-1.349746111,36.65120556
Carjacking,2019,6,11,1,36,Kahawa West,-1.187060648,36.8999232
Road Carnage,2017,3,27,3,47,Parklands,-1.259163055,36.8206743
Armed Robbery,2020,9,5,11,45,Kahawa West,-1.187060648,36.8999232
Drug Charges,2018,6,21,3,47,Ngong,-1.375659647,36.6759248
Pick Pocketing,2017,7,12,24,30,South B,-1.309873212,36.83713094
Carjacking,2018,5,19,19,46,Thika,-1.048427594,37.07454568
Armed Robbery,2017,2,29,22,46,South B,-1.315525825,36.83550016
Fraud,2020,5,15,0,27,Kahawa West,-1.188605268,36.89691913
Carjacking,2020,9,8,7,5,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2019,3,17,1,47,South C,-1.315895748,36.82659496
Pick Pocketing,2018,10,27,22,48,Uhuru Park,-1.288523315,36.81737861
Pick Pocketing,2017,7,8,23,46,South C,-1.327222385,36.83938373
Sexual Assault,2020,9,19,0,58,Thika,-1.055464524,37.10123903
Road Carnage,2018,7,24,12,9,UpperHill,-1.299707944,36.80938757
Pick Pocketing,2019,8,20,3,41,Uhuru Park,-1.2903935,36.8165834
Terrorism,2020,9,25,24,0,Kahawa West,-1.186717399,36.9032706
Road Carnage,2019,6,23,13,4,Parklands,-1.261286851,36.81704796
Carjacking,2018,1,30,0,39,Kibera,-1.314278242,36.79372214
Road Carnage,2020,5,6,13,13,UpperHill,-1.298163388,36.81816375
Road Carnage,2017,8,9,14,14,Uhuru Park,-1.2903935,36.8165834
Carjacking,2018,12,19,18,37,Ngong,-1.349746111,36.65120556
Carjacking,2017,9,10,3,24,Ngong,-1.375659647,36.6759248
Sexual Assault,2017,1,30,22,33,Kahawa West,-1.181697376,36.90348517
Drug Charges,2018,10,1,13,9,Ngong,-1.361415817,36.66742756
Carjacking,2018,11,7,23,55,Githurai,-1.210787637,36.91850554
Pick Pocketing,2020,7,1,18,51,Uhuru Park,-1.29116194,36.81595167
Drug Charges,2018,10,29,17,24,Uhuru Park,-1.29116194,36.81595167
Armed Robbery,2020,3,8,23,55,Uhuru Park,-1.288523315,36.81737861
Road Carnage,2017,11,6,1,29,Kibera,-1.313956462,36.79674767
Drug Charges,2017,5,27,4,51,Kibera,-1.313377257,36.79784201
Armed Robbery,2018,9,16,5,43,Kibera,-1.314278242,36.79372214
Terrorism,2019,8,22,23,38,South B,-1.309873212,36.83713094
Armed Robbery,2020,7,18,7,49,Uhuru Park,-1.291912768,36.81687435
Terrorism,2020,4,7,11,30,Uhuru Park,-1.29116194,36.81595167
Terrorism,2018,5,16,1,44,Thika,-1.055464524,37.10123903
Carjacking,2019,9,13,14,38,South B,-1.309873212,36.83713094
Drug Charges,2020,7,4,5,15,Githurai,-1.203064589,36.9597901
Armed Robbery,2020,6,23,22,27,UpperHill,-1.298163388,36.81816375
Terrorism,2020,9,23,9,38,South B,-1.309572883,36.83095113
Fraud,2020,4,6,18,45,South B,-1.314378142,36.83863298
Fraud,2020,5,19,14,58,Kibera,-1.310631395,36.79153345
Fraud,2020,1,22,14,15,Uhuru Park,-1.291912768,36.81687435
Terrorism,2020,5,19,13,0,South B,-1.309572883,36.83095113
Carjacking,2020,11,29,19,22,Kibera,-1.313377257,36.79784201
Terrorism,2019,2,13,7,19,Ngong,-1.349746111,36.65120556
Fraud,2018,6,1,6,58,Parklands,-1.260482383,36.80860436
Carjacking,2019,3,24,10,36,Ngong,-1.366907424,36.67197658
Pick Pocketing,2020,12,3,2,4,Parklands,-1.25514071,36.80907643
Sexual Assault,2020,5,10,16,33,Thika,-1.03581257,37.08390123
Carjacking,2018,4,6,24,46,Uhuru Park,-1.291912768,36.81687435
Terrorism,2017,5,18,12,12,Kibera,-1.313377257,36.79784201
Armed Robbery,2020,8,27,20,19,South C,-1.327136577,36.82569374
Pick Pocketing,2019,1,6,12,24,Ngong,-1.349746111,36.65120556
Terrorism,2018,2,3,24,56,Uhuru Park,-1.291912768,36.81687435
Fraud,2017,3,15,6,27,South C,-1.312034383,36.82256092
Terrorism,2017,8,30,1,31,Uhuru Park,-1.291912768,36.81687435
Sexual Assault,2017,12,8,18,26,South B,-1.309572883,36.83095113
Road Carnage,2020,1,16,17,3,Parklands,-1.260482383,36.80860436
Road Carnage,2018,10,6,8,1,Kahawa West,-1.186717399,36.9032706
Road Carnage,2017,3,14,6,59,Githurai,-1.203965613,36.91241157
Terrorism,2018,8,10,11,5,Ngong,-1.366907424,36.67197658
Drug Charges,2017,2,3,14,13,Ngong,-1.366907424,36.67197658
Armed Robbery,2020,7,15,15,45,Ngong,-1.349746111,36.65120556
Terrorism,2019,12,7,1,32,Parklands,-1.259163055,36.8206743
Armed Robbery,2019,11,3,24,35,Ngong,-1.375659647,36.6759248
Pick Pocketing,2018,1,25,1,34,UpperHill,-1.299707944,36.80938757
Fraud,2020,9,30,4,40,Ngong,-1.349746111,36.65120556
Carjacking,2018,9,15,7,45,UpperHill,-1.30067329,36.81582487
Terrorism,2017,7,13,15,6,Parklands,-1.261286851,36.81704796
Armed Robbery,2019,10,13,0,36,Ngong,-1.375659647,36.6759248
Terrorism,2020,3,7,14,48,Githurai,-1.204866636,36.92777526
Pick Pocketing,2018,8,26,20,5,Uhuru Park,-1.288523315,36.81737861
Carjacking,2018,5,31,9,0,Parklands,-1.25514071,36.80907643
Road Carnage,2020,2,15,0,3,Ngong,-1.349746111,36.65120556
Drug Charges,2020,7,11,4,9,Parklands,-1.261286851,36.81704796
Armed Robbery,2017,3,4,19,30,South C,-1.327136577,36.82569374
Carjacking,2017,7,20,8,42,Ngong,-1.375659647,36.6759248
Drug Charges,2019,9,6,15,50,Parklands,-1.260482383,36.80860436
Road Carnage,2018,10,4,12,17,South C,-1.327222385,36.83938373
Road Carnage,2019,3,23,12,7,Thika,-1.028089061,37.06853754
Sexual Assault,2017,10,12,17,10,Parklands,-1.261286851,36.81704796
Pick Pocketing,2017,4,7,22,42,Ngong,-1.361415817,36.66742756
Pick Pocketing,2020,1,27,19,39,South B,-1.314378142,36.83863298
Carjacking,2019,2,4,6,44,Githurai,-1.204866636,36.92777526
Terrorism,2017,8,14,18,3,South C,-1.327136577,36.82569374
Sexual Assault,2018,1,23,16,51,Uhuru Park,-1.291912768,36.81687435
Fraud,2019,1,17,18,1,Parklands,-1.261286851,36.81704796
Road Carnage,2019,8,11,21,58,Parklands,-1.261286851,36.81704796
Fraud,2017,8,16,18,21,Kibera,-1.313956462,36.79674767
Drug Charges,2019,12,23,21,29,South C,-1.327222385,36.83938373
Carjacking,2019,5,14,11,44,Githurai,-1.210787637,36.91850554
Drug Charges,2020,11,30,22,7,Uhuru Park,-1.2903935,36.8165834
Fraud,2019,2,10,13,49,South B,-1.315525825,36.83550016
Carjacking,2017,7,12,14,16,Ngong,-1.366907424,36.67197658
Road Carnage,2018,2,16,23,40,Parklands,-1.259163055,36.8206743
Road Carnage,2018,12,6,24,24,Ngong,-1.361415817,36.66742756
Pick Pocketing,2019,12,4,7,0,Kahawa West,-1.187060648,36.8999232
Drug Charges,2017,7,16,12,30,Githurai,-1.203064589,36.9597901
Terrorism,2017,7,2,2,21,Parklands,-1.25514071,36.80907643
Sexual Assault,2018,10,10,17,4,Thika,-1.028089061,37.06853754
Drug Charges,2020,3,5,18,31,Kahawa West,-1.187060648,36.8999232
Carjacking,2017,3,4,11,32,South C,-1.312034383,36.82256092
Fraud,2018,3,4,16,44,Thika,-1.048427594,37.07454568
Road Carnage,2018,7,18,4,5,Thika,-1.048427594,37.07454568
Pick Pocketing,2017,12,25,13,33,UpperHill,-1.299707944,36.80938757
Sexual Assault,2019,6,8,16,56,South C,-1.315895748,36.82659496
Armed Robbery,2017,11,20,7,3,South B,-1.309572883,36.83095113
Drug Charges,2017,2,10,5,55,South B,-1.314378142,36.83863298
Pick Pocketing,2017,10,30,12,47,Uhuru Park,-1.288523315,36.81737861
Sexual Assault,2017,3,19,14,50,Uhuru Park,-1.291912768,36.81687435
Road Carnage,2020,11,2,3,19,Ngong,-1.366907424,36.67197658
